Crop,Area,Production,Yield
Rice,612.5,362.2,591.35
Rice,616.8,330.6,535.99
Rice,634.9,515.6,812.1
Rice,630.0,506.9,804.6
Rice,627.9,513.3,817.49
Rice,626.7,711.0,1134.51
Rice,632.2,563.8,891.81
Rice,630.8,699.8,1109.38
Rice,643.0,525.0,816.49
Rice,648.0,523.0,807.1
Rice,652.7,549.7,842.19
Rice,660.2,457.3,692.67
Rice,682.9,806.8,1181.43
Rice,680.8,773.6,1136.31
Rice,688.0,777.3,1129.8
Rice,703.6,876.7,1246.02
Rice,726.8,967.9,1331.73
Rice,723.3,1052.0,1454.44
Rice,710.9,917.2,1290.2
Rice,735.7,837.5,1138.37
Rice,786.51,684.62,870.45
Rice,769.79,963.04,1251.04
Rice,748.76,467.89,624.89
Rice,756.26,978.69,1294.13
Rice,753.41,484.9,643.6
Rice,766.58,1145.82,1494.73
Rice,775.99,984.31,1268.46
Rice,775.99,984.31,1268.46
Rice,781.7,1177.1,1505.81
Rice,799.89,1095.84,1369.98
Rice,803.37,704.09,876.42
Rice,789.04,622.05,788.37
Rice,777.92,1319.18,1695.77
Rice,806.55,1416.48,1756.23
Rice,807.07,1534.22,1900.97
Rice,819.44,1296.24,1581.86
Rice,834.87,1444.24,1729.89
Rice,817.68,880.6,1076.95
Rice,858.91,1791.66,2085.96
Rice,841.13,983.21,1168.92
Rice,490.4,402.2,820.15
Rice,497.5,309.2,621.51
Rice,519.4,391.8,754.33
Rice,523.5,389.3,743.65
Rice,527.7,372.4,705.7
Rice,538.0,408.0,758.36
Rice,533.4,395.6,741.66
Rice,555.4,834.3,1502.16
Rice,556.0,403.0,724.82
Rice,555.0,382.0,688.29
Rice,572.8,553.2,965.78
Rice,571.7,544.7,952.77
Rice,579.0,561.9,970.47
Rice,582.3,624.3,1072.13
Rice,584.4,533.3,912.56
Rice,605.3,603.7,997.36
Rice,609.9,604.0,990.33
Rice,619.0,589.1,951.7
Rice,644.1,670.5,1040.99
Rice,622.8,455.0,730.57
Rice,627.1,569.8,908.63
Rice,628.47,676.2,1075.95
Rice,628.03,523.9,834.2
Rice,633.99,922.15,1454.52
Rice,623.9,331.38,531.14
Rice,632.58,1042.75,1648.41
Rice,635.47,788.65,1241.05
Rice,635.47,788.65,1241.05
Rice,546.54,836.54,1530.61
Rice,626.07,927.73,1481.83
Rice,627.78,729.33,1161.76
Rice,626.66,682.46,1089.04
Rice,621.89,1184.98,1905.45
Rice,627.73,772.88,1231.23
Rice,637.8,1341.33,2103.06
Rice,642.79,1265.91,1969.4
Rice,646.7,1377.04,2129.33
Rice,644.56,664.46,1030.87
Rice,656.26,1294.97,1973.24
Rice,660.36,801.82,1214.23
Rice,792.7,686.0,865.4
Rice,795.0,420.2,528.55
Rice,812.4,724.7,892.05
Rice,799.6,791.5,989.87
Rice,798.9,617.0,772.31
Rice,802.5,988.8,1232.15
Rice,804.0,924.3,1149.63
Rice,821.7,1304.3,1587.32
Rice,818.0,809.0,989.0
Rice,822.0,1012.0,1231.14
Rice,827.9,850.1,1026.81
Rice,836.1,1186.1,1418.61
Rice,847.3,1155.0,1363.15
Rice,854.1,1218.8,1427.0
Rice,858.6,1382.3,1609.95
Rice,876.1,1400.1,1598.11
Rice,899.7,1303.5,1448.82
Rice,908.4,1314.9,1447.49
Rice,860.4,1448.8,1683.87
Rice,918.6,1016.2,1106.25
Rice,902.0,643.0,712.86
Rice,950.21,1378.88,1451.13
Rice,889.78,461.63,518.81
Rice,902.62,1120.82,1241.74
Rice,897.85,659.62,734.67
Rice,912.53,1316.34,1442.52
Rice,918.33,1147.58,1249.64
Rice,918.33,1147.58,1249.64
Rice,918.39,1324.71,1442.43
Rice,956.63,1483.28,1550.53
Rice,942.24,1252.38,1329.15
Rice,928.66,1307.24,1407.66
Rice,915.4,1521.13,1661.71
Rice,958.01,1421.37,1483.67
Rice,993.68,1974.69,1987.25
Rice,1009.22,1749.21,1733.23
Rice,1034.99,2127.73,2055.8
Rice,986.91,1412.83,1431.57
Rice,1009.29,2432.48,2410.09
Rice,959.01,1520.95,1585.96
Rice,652.9,503.3,770.87
Rice,654.2,217.2,332.01
Rice,656.8,636.5,969.09
Rice,658.1,581.4,883.45
Rice,650.7,401.2,616.57
Rice,662.8,666.8,1006.04
Rice,655.2,546.2,833.64
Rice,661.2,910.1,1376.44
Rice,708.0,967.0,1365.82
Rice,663.0,716.0,1079.94
Rice,647.6,889.1,1372.92
Rice,671.5,698.5,1040.21
Rice,689.5,964.2,1398.4
Rice,690.6,895.4,1296.55
Rice,691.8,724.2,1046.83
Rice,698.1,943.7,1351.81
Rice,719.7,1164.4,1617.9
Rice,691.7,921.0,1331.5
Rice,688.3,922.9,1340.84
Rice,704.1,349.1,495.81
Rice,748.99,608.38,812.27
Rice,753.87,1129.43,1498.18
Rice,704.25,437.56,621.31
Rice,711.68,1012.11,1422.13
Rice,704.96,617.25,875.59
Rice,710.4,1011.96,1424.48
Rice,711.59,874.16,1228.45
Rice,711.59,874.16,1228.45
Rice,712.81,1127.18,1581.33
Rice,716.37,1160.03,1619.32
Rice,749.56,1070.95,1428.76
Rice,696.49,994.29,1427.57
Rice,705.67,1333.61,1889.83
Rice,749.08,1557.35,2079.01
Rice,747.27,1746.82,2337.61
Rice,726.15,1577.16,2171.95
Rice,728.84,1683.92,2310.43
Rice,731.83,1340.65,1831.92
Rice,727.5,1858.19,2554.21
Rice,727.94,1295.71,1779.97
Rice,360.3,292.1,810.71
Rice,362.4,149.3,411.98
Rice,368.0,332.6,903.8
Rice,372.8,326.6,876.07
Rice,371.0,270.2,728.3
Rice,375.1,361.8,964.54
Rice,378.9,292.6,772.24
Rice,387.5,373.4,963.61
Rice,392.0,330.0,841.84
Rice,392.0,320.0,816.33
Rice,407.3,413.1,1014.24
Rice,418.2,377.5,902.68
Rice,412.5,397.8,964.36
Rice,413.3,457.3,1106.46
Rice,413.9,436.6,1054.84
Rice,417.9,513.9,1229.72
Rice,419.9,561.6,1337.46
Rice,417.2,431.6,1034.52
Rice,420.4,541.2,1287.35
Rice,419.7,342.6,816.3
Rice,592.6,661.2,1115.76
Rice,420.8,476.0,1131.18
Rice,421.0,237.75,564.73
Rice,420.68,526.7,1252.02
Rice,419.69,284.59,678.1
Rice,422.96,547.37,1294.14
Rice,421.56,417.86,991.22
Rice,421.56,417.86,991.22
Rice,421.04,437.91,1040.07
Rice,423.06,532.65,1259.04
Rice,423.29,500.83,1183.18
Rice,420.75,470.53,1118.31
Rice,435.05,598.26,1375.15
Rice,421.32,602.66,1430.41
Rice,422.65,641.28,1517.28
Rice,418.44,580.76,1387.92
Rice,408.9,657.79,1608.68
Rice,409.45,414.89,1013.29
Rice,424.24,763.72,1800.23
Rice,411.12,623.29,1516.07
Rice,311.7,204.0,654.48
Rice,294.4,75.3,255.77
Rice,308.4,247.1,801.23
Rice,312.9,218.5,698.31
Rice,312.8,229.7,734.34
Rice,318.7,216.2,678.38
Rice,329.1,219.2,666.06
Rice,329.5,249.7,757.81
Rice,336.0,256.0,761.9
Rice,342.0,237.0,692.98
Rice,353.0,283.0,801.7
Rice,355.4,338.6,952.73
Rice,351.2,417.7,1189.35
Rice,351.9,301.0,855.36
Rice,351.2,243.9,694.48
Rice,352.9,279.2,791.16
Rice,361.5,402.3,1112.86
Rice,362.0,318.7,880.39
Rice,370.5,391.3,1056.14
Rice,369.4,298.7,808.61
Rice,373.7,273.2,731.07
Rice,379.81,431.72,1136.67
Rice,377.94,240.59,636.58
Rice,384.88,513.26,1333.56
Rice,377.85,257.13,680.51
Rice,383.94,503.4,1311.14
Rice,380.93,374.25,982.46
Rice,380.93,374.25,982.46
Rice,383.16,403.92,1054.18
Rice,380.88,435.45,1143.27
Rice,382.59,449.93,1176.01
Rice,376.0,270.74,720.05
Rice,371.28,399.46,1075.9
Rice,377.14,530.08,1405.53
Rice,373.71,610.07,1632.47
Rice,371.71,633.47,1704.2
Rice,381.43,687.04,1801.22
Rice,369.32,440.9,1193.82
Rice,376.38,652.25,1732.96
Rice,377.07,524.07,1389.84
Rice,135.8,95.2,701.03
Rice,134.7,1.7,12.62
Rice,132.2,66.1,500.0
Rice,127.9,43.0,336.2
Rice,114.6,55.0,479.93
Rice,125.9,84.6,671.96
Rice,125.9,43.1,342.34
Rice,133.6,101.8,761.98
Rice,127.0,24.0,188.98
Rice,113.0,68.0,601.77
Rice,132.0,78.8,596.97
Rice,126.0,58.9,467.46
Rice,135.5,111.8,825.09
Rice,138.4,75.0,541.91
Rice,144.8,95.4,658.84
Rice,147.3,100.2,680.24
Rice,149.0,113.0,758.39
Rice,152.4,112.6,738.85
Rice,153.2,86.3,563.32
Rice,161.8,86.2,532.76
Rice,56.1,28.8,513.37
Rice,164.7,173.4,1052.82
Rice,164.3,72.0,438.22
Rice,172.7,144.9,839.03
Rice,170.1,96.5,567.31
Rice,178.2,174.3,978.11
Rice,180.52,162.82,901.95
Rice,168.96,145.9,863.52
Rice,173.4,103.71,598.1
Rice,153.8,53.52,347.98
Rice,173.3,103.69,598.33
Rice,135.2,78.8,582.84
Rice,151.1,155.0,1025.81
Rice,157.6,204.5,1297.59
Rice,182.13,292.91,1608.25
Rice,188.69,364.36,1931.0
Rice,179.0,228.0,1273.74
Rice,169.0,189.33,1120.3
Rice,225.0,652.66,2900.71
Rice,210.2,526.17,2503.19
Rice,226.3,226.4,1000.44
Rice,220.7,98.8,447.67
Rice,225.7,316.9,1404.08
Rice,228.0,282.2,1237.72
Rice,225.1,228.7,1015.99
Rice,228.2,280.2,1227.87
Rice,229.7,154.7,673.49
Rice,230.6,304.0,1318.3
Rice,233.0,234.0,1004.29
Rice,203.0,205.0,1009.85
Rice,235.1,358.6,1525.31
Rice,232.4,218.5,940.19
Rice,236.3,297.1,1257.3
Rice,236.2,238.4,1009.31
Rice,237.3,263.6,1110.83
Rice,241.6,299.7,1240.48
Rice,243.7,228.3,936.81
Rice,243.3,295.9,1216.19
Rice,235.9,245.3,1039.85
Rice,243.9,257.7,1056.58
Rice,240.1,299.4,1246.98
Rice,249.7,333.3,1334.8
Rice,246.6,209.4,849.15
Rice,249.5,358.2,1435.67
Rice,247.5,207.8,839.6
Rice,252.1,370.4,1469.26
Rice,224.8,246.49,1096.49
Rice,248.7,365.28,1468.76
Rice,248.65,299.34,1203.86
Rice,249.8,233.77,935.83
Rice,249.8,181.57,726.86
Rice,247.8,338.2,1364.81
Rice,247.9,353.0,1423.96
Rice,246.7,336.2,1362.79
Rice,260.77,486.46,1865.48
Rice,258.65,434.08,1678.25
Rice,245.0,449.33,1834.0
Rice,266.0,445.33,1674.17
Rice,272.0,675.33,2482.83
Rice,220.21,395.48,1795.92
Rice,26.7,13.5,505.62
Rice,27.9,5.5,197.13
Rice,26.7,12.9,483.15
Rice,26.7,14.7,550.56
Rice,26.0,21.5,826.92
Rice,26.3,27.5,1045.63
Rice,27.3,19.5,714.29
Rice,27.1,24.2,892.99
Rice,28.0,16.0,571.43
Rice,26.0,28.0,1076.92
Rice,27.5,20.3,738.18
Rice,26.9,20.8,773.23
Rice,20.8,20.7,995.19
Rice,19.1,10.8,565.45
Rice,18.6,12.9,693.55
Rice,19.4,17.5,902.06
Rice,20.1,19.4,965.17
Rice,19.6,11.1,566.33
Rice,19.0,15.8,831.58
Rice,19.7,14.9,756.35
Rice,19.4,12.1,623.71
Rice,25.4,21.1,830.71
Rice,24.8,11.0,443.55
Rice,25.4,11.3,444.88
Rice,25.4,11.0,433.07
Rice,24.3,21.1,868.31
Rice,22.68,15.22,671.08
Rice,21.57,16.49,764.49
Rice,20.56,16.67,810.8
Rice,20.5,12.01,585.85
Rice,19.3,9.57,495.85
Rice,18.8,14.2,755.32
Rice,18.3,30.2,1650.27
Rice,20.2,43.0,2128.71
Rice,13.94,38.37,2752.51
Rice,13.81,28.05,2031.14
Rice,20.0,48.0,2400.0
Rice,31.0,54.0,1741.94
Rice,35.0,53.33,1523.71
Rice,34.01,42.06,1236.7
Rice,15.0,14.1,940.0
Rice,16.8,3.7,220.24
Rice,16.3,17.3,1061.35
Rice,12.9,14.0,1085.27
Rice,15.9,17.5,1100.63
Rice,15.9,18.5,1163.52
Rice,16.0,15.4,962.5
Rice,15.9,23.8,1496.86
Rice,15.0,19.0,1266.67
Rice,15.0,18.0,1200.0
Rice,15.8,15.9,1006.33
Rice,13.4,11.1,828.36
Rice,11.4,12.7,1114.04
Rice,11.0,12.9,1172.73
Rice,10.6,11.0,1037.74
Rice,10.0,11.0,1100.0
Rice,9.1,9.5,1043.96
Rice,9.0,7.2,800.0
Rice,9.4,10.2,1085.11
Rice,8.2,9.0,1097.56
Rice,6.6,7.7,1166.67
Rice,9.4,12.0,1276.6
Rice,10.8,9.1,842.59
Rice,13.2,15.4,1166.67
Rice,13.0,9.1,700.0
Rice,13.3,15.6,1172.93
Rice,14.03,14.95,1065.57
Rice,13.05,13.93,1067.43
Rice,13.61,14.58,1071.27
Rice,12.9,8.38,649.61
Rice,13.1,8.05,614.5
Rice,13.4,14.9,1111.94
Rice,12.5,19.5,1560.0
Rice,12.0,21.5,1791.67
Rice,12.91,17.21,1333.08
Rice,18.36,24.99,1361.11
Rice,18.0,25.33,1407.22
Rice,34.0,89.33,2627.35
Rice,55.0,154.66,2812.0
Rice,39.1,181.3,4636.83
Rice,90.2,58.8,651.88
Rice,91.5,38.4,419.67
Rice,91.3,102.1,1118.29
Rice,93.0,90.4,972.04
Rice,92.0,79.5,864.13
Rice,93.9,118.3,1259.85
Rice,96.6,62.7,649.07
Rice,97.6,144.3,1478.48
Rice,98.0,94.0,959.18
Rice,75.0,58.0,773.33
Rice,99.0,129.2,1305.05
Rice,97.3,107.6,1105.86
Rice,95.8,136.4,1423.8
Rice,95.5,59.2,619.9
Rice,96.8,97.3,1005.17
Rice,98.4,135.2,1373.98
Rice,100.2,140.1,1398.2
Rice,100.7,88.0,873.88
Rice,99.7,103.8,1041.12
Rice,102.8,91.8,893.0
Rice,105.0,125.6,1196.19
Rice,107.6,148.3,1378.25
Rice,111.1,43.9,395.14
Rice,116.0,112.4,968.97
Rice,116.9,80.2,686.06
Rice,120.6,175.7,1456.88
Rice,113.9,84.1,738.37
Rice,118.32,143.95,1216.62
Rice,119.39,135.81,1137.53
Rice,119.0,97.61,820.25
Rice,115.6,77.42,669.72
Rice,116.8,122.4,1047.95
Rice,116.3,153.9,1323.3
Rice,121.2,176.4,1455.45
Rice,136.55,281.01,2057.93
Rice,150.24,440.99,2935.24
Rice,139.0,199.33,1434.03
Rice,169.0,238.67,1412.25
Rice,182.0,450.0,2472.53
Rice,133.13,319.98,2403.52
Rice,126.9,75.0,591.02
Rice,125.6,32.5,258.76
